Shot ID,Shots Since Up To Air,Shots Since Li GUN Coat,Shots Since Li POT Coat,Graph (20913)
2538,"5000","5000","5000","1"
2539,"5000","5000","5000","1"
2540,"5000","5000","5000","1"
2541,"5000","5000","5000","1"
2542,"5000","5000","5000","1"
2543,"5000","5000","5000","1"
2544,"5000","5000","5000","1"
2545,"5000","5000","5000","1"
2546,"5000","5000","5000","1"
2547,"5000","5000","5000","1"
2548,"5000","5000","5000","1"
2549,"5000","5000","5000","1"
2550,"5000","5000","5000","1"
2551,"5000","5000","5000","1"
2552,"5000","5000","5000","1"
2553,"5000","5000","5000","1"
2554,"5000","5000","5000","1"
2555,"5000","5000","5000","1"
2556,"5000","5000","5000","1"
2557,"5000","5000","5000","1"
2558,"5000","5000","5000","1"
2559,"5000","5000","5000","1"
2560,"5000","5000","5000","1"
2561,"5000","5000","5000","1"
2562,"5000","5000","5000","1"
2563,"5000","5000","5000","1"
2564,"5000","5000","5000","1"
2565,"5000","5000","5000","1"
2566,"5000","5000","5000","1"
2567,"5000","5000","5000","1"
2568,"5000","5000","5000","1"
2569,"5000","5000","5000","1"
2570,"5000","5000","5000","1"
2571,"5000","5000","5000","1"
2572,"5000","5000","5000","1"
2573,"5000","5000","5000","1"
2574,"5000","5000","5000","1"
2575,"5000","5000","5000","1"
2576,"5000","5000","5000","1"
2577,"5000","5000","5000","1"
2578,"5000","5000","5000","1"
2579,"5000","5000","5000","1"
2580,"5000","5000","5000","1"
2581,"5000","5000","5000","1"
2582,"5000","5000","5000","1"
2583,"5000","5000","5000","1"
2584,"5000","5000","5000","1"
2585,"5000","5000","5000","1"
2586,"5000","5000","5000","1"
2587,"5000","5000","5000","1"
2588,"5000","5000","5000","1"
2589,"5000","5000","5000","1"
2590,"5000","5000","5000","1"
2591,"5000","5000","5000","1"
2592,"5000","5000","5000","1"
2593,"5000","5000","5000","1"
2594,"5000","5000","5000","1"
2595,"5000","5000","5000","1"
2596,"5000","5000","5000","1"
2597,"5000","5000","5000","1"
2598,"5000","5000","5000","1"
2599,"5000","5000","5000","1"
2600,"5000","5000","5000","1"
2601,"5000","5000","5000","1"
2602,"5000","5000","5000","1"
2603,"5000","5000","5000","1"
2604,"5000","5000","5000","1"
2605,"5000","5000","5000","1"
2606,"5000","5000","5000","1"
2607,"5000","5000","5000","1"
2608,"5000","5000","5000","1"
2609,"5000","5000","5000","1"
2610,"5000","5000","5000","1"
2611,"5000","5000","5000","1"
2612,"5000","5000","5000","1"
2613,"5000","5000","5000","1"
2614,"5000","5000","5000","1"
2615,"5000","5000","5000","1"
2616,"5000","5000","5000","1"
2617,"5000","5000","5000","1"
2618,"5000","5000","5000","1"
2619,"5000","5000","5000","1"
2620,"5000","5000","5000","1"
2621,"5000","5000","5000","1"
2622,"5000","5000","5000","1"
2623,"5000","5000","5000","1"
2624,"5000","5000","5000","1"
2625,"5000","5000","5000","1"
2626,"5000","5000","5000","1"
2627,"5000","5000","5000","1"
2628,"5000","5000","5000","1"
2629,"5000","5000","5000","1"
2630,"5000","5000","5000","1"
