System,Experiment,Shot ID,Sustainment Setpoint (kV),Graph (20913)
Pi 3,"pi3b (Pi3 spherical build)","2202","","1"
Pi 3,"pi3b (Pi3 spherical build)","2203","","1"
Pi 3,"pi3b (Pi3 spherical build)","2204","","1"
Pi 3,"pi3b (Pi3 spherical build)","2205","","1"
Pi 3,"pi3b (Pi3 spherical build)","2206","","1"
Pi 3,"pi3b (Pi3 spherical build)","2207","","1"
Pi 3,"pi3b (Pi3 spherical build)","2208","","1"
Pi 3,"pi3b (Pi3 spherical build)","2209","","1"
Pi 3,"pi3b (Pi3 spherical build)","2210","","1"
Pi 3,"pi3b (Pi3 spherical build)","2211","","1"
Pi 3,"pi3b (Pi3 spherical build)","2212","","1"
Pi 3,"pi3b (Pi3 spherical build)","2213","","1"
Pi 3,"pi3b (Pi3 spherical build)","2214","","1"
Pi 3,"pi3b (Pi3 spherical build)","2215","","1"
Pi 3,"pi3b (Pi3 spherical build)","2216","","1"
Pi 3,"pi3b (Pi3 spherical build)","2217","","1"
Pi 3,"pi3b (Pi3 spherical build)","2218","","1"
Pi 3,"pi3b (Pi3 spherical build)","2219","","1"
Pi 3,"pi3b (Pi3 spherical build)","2220","","1"
Pi 3,"pi3b (Pi3 spherical build)","2221","","1"
Pi 3,"pi3b (Pi3 spherical build)","2222","","1"
Pi 3,"pi3b (Pi3 spherical build)","2223","","1"
Pi 3,"pi3b (Pi3 spherical build)","2224","","1"
Pi 3,"pi3b (Pi3 spherical build)","2225","","1"
Pi 3,"pi3b (Pi3 spherical build)","2226","","1"
Pi 3,"pi3b (Pi3 spherical build)","2227","","1"
Pi 3,"pi3b (Pi3 spherical build)","2228","","1"
Pi 3,"pi3b (Pi3 spherical build)","2229","","1"
Pi 3,"pi3b (Pi3 spherical build)","2230","","1"
Pi 3,"pi3b (Pi3 spherical build)","2231","","1"
Pi 3,"pi3b (Pi3 spherical build)","2232","","1"
Pi 3,"pi3b (Pi3 spherical build)","2233","","1"
Pi 3,"pi3b (Pi3 spherical build)","2234","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2235","","1"
Pi 3,"pi3b (Pi3 spherical build)","2236","","1"
Pi 3,"pi3b (Pi3 spherical build)","2237","","1"
Pi 3,"pi3b (Pi3 spherical build)","2238","","1"
Pi 3,"pi3b (Pi3 spherical build)","2239","","1"
Pi 3,"pi3b (Pi3 spherical build)","2240","","1"
Pi 3,"pi3b (Pi3 spherical build)","2241","","1"
Pi 3,"pi3b (Pi3 spherical build)","2242","","1"
Pi 3,"pi3b (Pi3 spherical build)","2243","","1"
Pi 3,"pi3b (Pi3 spherical build)","2244","","1"
Pi 3,"pi3b (Pi3 spherical build)","2245","","1"
Pi 3,"pi3b (Pi3 spherical build)","2246","","1"
Pi 3,"pi3b (Pi3 spherical build)","2247","","1"
Pi 3,"pi3b (Pi3 spherical build)","2248","","1"
Pi 3,"pi3b (Pi3 spherical build)","2249","","1"
Pi 3,"pi3b (Pi3 spherical build)","2250","","1"
Pi 3,"pi3b (Pi3 spherical build)","2251","","1"
Pi 3,"pi3b (Pi3 spherical build)","2252","","1"
Pi 3,"pi3b (Pi3 spherical build)","2253","","1"
Pi 3,"pi3b (Pi3 spherical build)","2254","","1"
Pi 3,"pi3b (Pi3 spherical build)","2255","","1"
Pi 3,"pi3b (Pi3 spherical build)","2256","","1"
Pi 3,"pi3b (Pi3 spherical build)","2257","","1"
Pi 3,"pi3b (Pi3 spherical build)","2258","","1"
Pi 3,"pi3b (Pi3 spherical build)","2259","","1"
Pi 3,"pi3b (Pi3 spherical build)","2260","","1"
Pi 3,"pi3b (Pi3 spherical build)","2261","","1"
Pi 3,"pi3b (Pi3 spherical build)","2262","","1"
Pi 3,"pi3b (Pi3 spherical build)","2263","","1"
Pi 3,"pi3b (Pi3 spherical build)","2264","","1"
Pi 3,"pi3b (Pi3 spherical build)","2265","","1"
Pi 3,"pi3b (Pi3 spherical build)","2266","","1"
Pi 3,"pi3b (Pi3 spherical build)","2267","","1"
Pi 3,"pi3b (Pi3 spherical build)","2268","","1"
Pi 3,"pi3b (Pi3 spherical build)","2269","","1"
Pi 3,"pi3b (Pi3 spherical build)","2270","","1"
Pi 3,"pi3b (Pi3 spherical build)","2271","","1"
Pi 3,"pi3b (Pi3 spherical build)","2272","","1"
Pi 3,"pi3b (Pi3 spherical build)","2273","","1"
Pi 3,"pi3b (Pi3 spherical build)","2274","","1"
Pi 3,"pi3b (Pi3 spherical build)","2275","","1"
Pi 3,"pi3b (Pi3 spherical build)","2276","","1"
Pi 3,"pi3b (Pi3 spherical build)","2277","","1"
Pi 3,"pi3b (Pi3 spherical build)","2278","","1"
Pi 3,"pi3b (Pi3 spherical build)","2279","","1"
Pi 3,"pi3b (Pi3 spherical build)","2280","","1"
Pi 3,"pi3b (Pi3 spherical build)","2281","","1"
Pi 3,"pi3b (Pi3 spherical build)","2282","","1"
Pi 3,"pi3b (Pi3 spherical build)","2283","","1"
Pi 3,"pi3b (Pi3 spherical build)","2284","","1"
Pi 3,"pi3b (Pi3 spherical build)","2285","","1"
